
DATA_PATH, n, d, k: /home/philipp/data-for-pc-sos-sdp-solver/glass.txt 214 9 6
CONSTRAINTS_PATH: /home/philipp/data-for-pc-sos-sdp-solver/glass_constraints_0.1.txt
LOG_PATH: /home/philipp/data-for-pc-sos-sdp-solver/glass_log_0.1.txt

BRANCH_AND_BOUND_TOL: 0.0001
BRANCH_AND_BOUND_PARALLEL: 16
BRANCH_AND_BOUND_MAX_NODES: 200
BRANCH_AND_BOUND_VISITING_STRATEGY: 0

SDP_SOLVER_SESSION_THREADS_ROOT: 16
SDP_SOLVER_SESSION_THREADS: 1
SDP_SOLVER_FOLDER: /home/pc-sos-sdp/SDPNAL+/
SDP_SOLVER_TOL: 1e-05
SDP_SOLVER_VERBOSE: 1
SDP_SOLVER_MAX_CP_ITER_ROOT: 80
SDP_SOLVER_MAX_CP_ITER: 40
SDP_SOLVER_CP_TOL: 1e-06
SDP_SOLVER_MAX_INEQ: 100000
SDP_SOLVER_INHERIT_PERC: 1
SDP_SOLVER_EPS_INEQ: 0.0001
SDP_SOLVER_EPS_ACTIVE: 1e-06
SDP_SOLVER_MAX_PAIR_INEQ: 100000
SDP_SOLVER_PAIR_PERC: 0.05
SDP_SOLVER_MAX_TRIANGLE_INEQ: 100000
SDP_SOLVER_TRIANGLE_PERC: 0.05


|    N| NODE_PAR|    NODE|      LB_PAR|          LB|  FLAG|  TIME (s)| CP_ITER| CP_FLAG|   CP_INEQ|     PAIR  TRIANGLE    CLIQUE|          UB|         GUB|     I      J|     NODE_GAP|          GAP|  OPEN|
|  160|       13|      19|     1064.67|      1064.9|     0|       134|       1|      -3|      4889|        0      1789         0|     1072.67|     1071.46|   126    146|    0.0061207|    0.0061207|     0|
|  162|       11|      20|     1064.14|     1064.34|     0|       245|       4|      -3|      4192|        0    1071.5         0|     1071.46|     1071.46|   115    120|   0.00664602|    0.0061207|     1|
|  161|       11|      21|     1064.14|     1068.73|     0|       287|       3|      -3|      7303|  5.33333      4287         0|     1073.67|     1071.46|   115    120|   0.00254286|   0.00664602|     2|
|  159|        8|      22|     1064.57|     1069.28|     0|       358|       5|      -3|      4765|      1.2      2428         0|     1074.84|     1071.46|   115    120|   0.00203543|    0.0061207|     3|
|  160|        7|      23|     1067.56|     1069.46|     0|       390|       5|      -3|      4440|      5.8      2720         0|     1077.36|     1071.46|   126    147|   0.00186405|   0.00254286|     4|
|  161|        7|      24|     1067.56|     1068.24|     0|       400|       5|      -3|      4679|      1.6    2372.8         0|     1075.58|     1071.46|   126    147|   0.00300452|   0.00254286|     5|
|  161|       16|      25|     1065.13|     1065.25|     0|       148|       1|      -3|      5352|        0      1805         0|     1072.72|     1071.46|   115    120|   0.00579882|   0.00300452|     6|
|  160|       12|      26|     1064.87|     1065.94|     0|       355|       4|      -3|      5098|        7      2338         0|     1074.02|     1071.46|   127    147|   0.00515019|   0.00579882|     7|
|  159|       14|      27|     1067.79|     1068.69|     0|       218|       2|      -3|      6667|        0      2878         0|     1076.78|     1071.46|   117    121|   0.00258693|   0.00515019|     8|
|  160|       14|      28|     1067.79|     1068.28|     0|       245|       2|      -3|      6114|        0      1872         0|     1075.77|     1071.46|   117    121|   0.00297025|   0.00515019|     9|
|  162|       20|      29|     1064.34|     1065.06|     0|       191|       2|      -3|      4697|        0    1495.5         0|     1073.13|     1071.46|    83     90|   0.00597394|   0.00300452|    10|
|  161|       20|      30|     1064.34|     1066.49|     0|       161|       1|      -3|      4017|        0      5000         0|     1071.46|     1071.46|    83     90|   0.00463725|   0.00597394|    11|
|  160|       18|      31|     1064.31|      1066.9|     0|       298|       3|      -3|      4644|  2.66667      2597         0|     1071.65|     1071.46|    62     90|   0.00425571|   0.00463725|    12|
|  161|       18|      32|     1064.31|     1065.11|     0|       346|       4|      -3|      5152|      0.5    1388.5         0|     1073.33|     1071.46|    62     90|   0.00592516|   0.00463725|    13|
|  161|       21|      33|     1068.73|     1069.51|     0|       198|       2|      -3|      7085|      5.5    2548.5         0|        1079|     1071.46|    80    115|   0.00181974|   0.00592516|    14|
|  160|       16|      34|     1065.13|     1069.85|     0|       402|       5|      -3|      4598|      1.2      2476         0|     1074.98|     1071.46|   115    120|   0.00149732|   0.00463725|    15|
|  160|       15|      35|     1068.68|     1069.49|     0|       391|       3|      -3|      5028|        0   1737.33         0|     1079.19|     1071.46|    80    115|   0.00183678|   0.00425571|    16|
|  160|       19|      36|      1064.9|     1065.81|     0|       337|       5|      -3|      4448|        0    1239.4         0|     1074.45|     1071.46|    62     90|    0.0052746|   0.00425571|    17|
|  159|       15|      37|     1068.68|     1071.01|     0|       456|       5|      -3|      6036|      2.6      3468         0|     1073.77|     1071.46|    80    115|  0.000422895|    0.0052746|    18|
|  161|       24|      38|     1068.24|     1068.53|     0|       271|       3|      -3|      4655|        0   1328.67         0|        1077|     1071.46|    62    123|   0.00273664|   0.00425571|    19|
|  160|       26|      39|     1065.94|     1066.67|     0|       248|       3|      -3|      5161|        0   1402.67         0|     1075.68|     1071.46|    90    154|   0.00447338|   0.00300452|    20|
|  162|       29|      40|     1065.06|     1065.42|     0|       185|       2|      -3|      4678|        0      1373         0|     1073.13|     1071.46|    57     94|   0.00563467|   0.00447338|    21|
|  161|       32|      41|     1065.11|      1065.4|     0|       152|       1|      -3|      5152|        0      1225         0|     1073.33|     1071.46|    57     94|   0.00565821|   0.00563467|    22|
|  159|       19|      42|      1064.9|     1067.62|     0|       376|       2|      -3|      7857|        6      3830         0|     1072.67|     1071.46|    62     90|   0.00358099|   0.00565821|    23|
|  161|       25|      43|     1065.25|     1066.08|     0|       379|       5|       3|      4371|      0.2      1359         0|      1074.5|     1071.46|    90    109|   0.00502082|   0.00563467|    24|
|  159|       26|      44|     1065.94|     1068.33|     0|       366|       4|      -3|      5251|        3      2439         0|     1074.02|     1071.46|    90    154|   0.00292231|   0.00502082|    25|
|  160|       25|      45|     1065.25|     1067.53|     0|       419|       5|      -3|      4540|        2      2434         0|     1072.72|     1071.46|    90    109|   0.00366617|   0.00502082|    26|
|  160|       36|      46|     1065.81|     1066.05|     0|       167|       2|      -3|      5137|        0      1225         0|      1074.8|     1071.46|    36    112|   0.00505284|   0.00447338|    27|
|  161|       29|      47|     1065.06|     1067.29|     0|       314|       4|      -3|      5000|        3      2969         0|     1075.65|     1071.46|    57     94|   0.00388867|   0.00505284|    28|
|  162|       40|      48|     1065.42|      1065.6|     0|       131|       1|      -3|      4678|        0      2064         0|     1073.59|     1071.46|    36     62|   0.00547216|   0.00447338|    29|
|  159|       13|      49|     1064.67|     1065.95|     0|       796|       5|      -3|      5445|      4.6      2437         0|     1074.26|     1071.46|   126    146|   0.00514248|   0.00547216|    30|
|  161|       30|      50|     1066.49|     1068.86|     0|       386|       4|      -3|      4191|        0      2625         0|     1071.46|     1071.46|    83    119|   0.00242846|   0.00514248|    31|
|  160|       32|      51|     1065.11|      1067.3|     0|       338|       4|      -3|      5224|        3      3125         0|     1075.84|     1071.46|    57     94|   0.00387859|   0.00514248|    32|
|  159|       36|      52|     1065.81|      1066.9|     0|       323|       4|      -3|      4178|     0.25      1234         0|     1074.29|     1071.46|    36    112|    0.0042573|   0.00447338|    33|
|  161|       40|      53|     1065.42|     1066.51|     0|       207|       2|      -3|      5584|        0      1853         0|     1073.13|     1071.46|    36     62|   0.00461843|    0.0042573|    34|
|  161|       41|      54|      1065.4|     1065.62|     0|       235|       2|      -3|      5785|        0    1922.5         0|     1073.84|     1071.46|    36    109|   0.00544944|   0.00461843|    35|
