
DATA_PATH, n, d, k: /home/philipp/data-for-pc-sos-sdp-solver/tae.txt 151 5 3
CONSTRAINTS_PATH: /home/philipp/data-for-pc-sos-sdp-solver/tae_constraints_0.1.txt
LOG_PATH: /home/philipp/data-for-pc-sos-sdp-solver/tae_log_0.1.txt

BRANCH_AND_BOUND_TOL: 0.0001
BRANCH_AND_BOUND_PARALLEL: 16
BRANCH_AND_BOUND_MAX_NODES: 200
BRANCH_AND_BOUND_VISITING_STRATEGY: 0

SDP_SOLVER_SESSION_THREADS_ROOT: 16
SDP_SOLVER_SESSION_THREADS: 1
SDP_SOLVER_FOLDER: /home/pc-sos-sdp/SDPNAL+/
SDP_SOLVER_TOL: 1e-05
SDP_SOLVER_VERBOSE: 1
SDP_SOLVER_MAX_CP_ITER_ROOT: 80
SDP_SOLVER_MAX_CP_ITER: 40
SDP_SOLVER_CP_TOL: 1e-06
SDP_SOLVER_MAX_INEQ: 100000
SDP_SOLVER_INHERIT_PERC: 1
SDP_SOLVER_EPS_INEQ: 0.0001
SDP_SOLVER_EPS_ACTIVE: 1e-06
SDP_SOLVER_MAX_PAIR_INEQ: 100000
SDP_SOLVER_PAIR_PERC: 0.05
SDP_SOLVER_MAX_TRIANGLE_INEQ: 100000
SDP_SOLVER_TRIANGLE_PERC: 0.05


|    N| NODE_PAR|    NODE|      LB_PAR|          LB|  FLAG|  TIME (s)| CP_ITER| CP_FLAG|   CP_INEQ|     PAIR  TRIANGLE    CLIQUE|          UB|         GUB|     I      J|     NODE_GAP|          GAP|  OPEN|
|  109|        3|      10|     591.695|     594.638|     0|       184|       6|      -3|      2668|        0      1940         0|     601.175|     594.951|     3      6|    0.0005256|    0.0005256|     0|
|  109|        5|      11|     591.556|     593.372|     0|       219|       4|      -3|      2956|        0      2232         0|     596.351|     594.951|     3      6|   0.00265348|   0.00265348|     0|
|  110|        7|      12|     592.081|     592.478|     0|       142|       3|      -3|      3025|        0   1190.33         0|     595.497|     594.951|    12     48|   0.00415619|   0.00415619|     0|
|  108|       10|      13|     594.638|      595.38|     0|        30|       0|       2|      2506|        0         0         0|         inf|     594.951|    18     47|   -0.0007209|   -0.0007209|     0|
|  109|       10|      14|     594.638|     594.994|     0|        33|       0|       2|      2668|        0         0         0|     601.175|     594.951|    18     47| -7.26294e-05| -7.26294e-05|     0|
|  108|        6|      15|     592.439|     593.089|     0|       193|       4|      -3|      3434|     3.75   2123.75         0|     598.426|     594.951|    64     88|   0.00312974|   0.00312974|     0|
|  109|        6|      16|     592.439|     593.163|     0|       235|       6|      -3|      2504|        0     745.5         0|     597.224|     594.951|    64     88|    0.0030055|    0.0030055|     0|
|  110|        5|      17|     591.556|     592.053|     0|       322|       4|      -3|      3378|        0   1245.75         0|     594.951|     594.951|     3      6|   0.00487026|   0.00487026|     0|
|  109|        7|      18|     592.081|     593.469|     0|       267|       4|      -3|      3623|        0      2179         0|     597.862|     594.951|    12     48|   0.00249106|   0.00249106|     0|
|  110|        9|      19|     593.298|     593.915|     0|       174|       4|      -3|      2928|        0      1251         0|     596.269|     594.951|    82    108|   0.00174095|   0.00174095|     0|
|  110|        8|      20|     591.868|     593.136|     0|       190|       3|      -3|      4669|        0      2618         0|     595.218|     594.951|    32     83|   0.00304959|   0.00174095|     1|
|  108|       11|      21|     593.372|     594.982|     0|       109|       1|       2|      6439|       14      5000         0|         inf|     594.951|     3     67| -5.21038e-05|   0.00304959|     2|
|  109|        9|      22|     593.298|     594.247|     0|       212|       4|      -3|      2830|        0   1467.75         0|     596.774|     594.951|    82    108|   0.00118362|   0.00174095|     1|
|  108|       15|      23|     593.089|     593.437|     0|       162|       3|      -3|      2903|        0   854.667         0|     598.444|     594.951|    35     63|   0.00254356|   0.00118362|     2|
|  110|       12|      24|     592.478|       592.9|     0|       208|       4|      -3|      2657|        0    835.25         0|     595.484|     594.951|    17     28|   0.00344635|   0.00254356|     3|
|  109|       16|      25|     593.163|     593.449|     0|       159|       3|      -3|      2973|        0   951.667         0|     597.224|     594.951|     3     63|   0.00252435|   0.00344635|     4|
|  107|       15|      26|     593.089|     594.636|     0|       218|       3|      -3|      4345|        0      2633         0|     598.426|     594.951|    35     63|  0.000529542|   0.00254356|     5|
|  111|        8|      27|     591.868|     592.536|     0|       371|       8|      -3|      2380|        0    847.75         0|     595.383|     594.951|    32     83|   0.00405938|   0.00252435|     6|
|  109|       11|      28|     593.372|     594.161|     0|       284|       5|      -3|      2383|        0    1272.8         0|     596.351|     594.951|     3     67|    0.0013281|   0.00405938|     7|
|  109|       12|      29|     592.478|     592.961|     0|       311|       4|      -3|      3611|        0      2169         0|     595.497|     594.951|    17     28|   0.00334418|   0.00252435|     8|
|  109|       18|      30|     593.469|     593.919|     0|       205|       3|      -3|      3216|        0      1212         0|     597.862|     594.951|    69     76|   0.00173437|   0.00334418|     9|
|  110|       17|      31|     592.053|     592.283|     0|       260|       4|      -3|      2311|        0     403.5         0|     594.951|     594.951|    73     94|   0.00448338|   0.00252435|    10|
|  110|       19|      32|     593.915|     594.731|     0|       225|       4|      -3|      2836|        0       903         0|     596.269|     594.951|    68     77|  0.000369106|   0.00448338|    11|
|  109|       19|      33|     593.915|     595.093|     0|       214|       2|       2|      6824|      6.5      4947         0|         inf|     594.951|    68     77| -0.000238859|   0.00252435|    12|
|  109|       17|      34|     592.053|      592.52|     0|       294|       4|      -3|      3295|        0   1829.25         0|     595.987|     594.951|    73     94|   0.00408483|   0.00252435|    11|
|  107|       23|      35|     593.437|     595.079|     0|        98|       1|       2|      6710|        0      5000         0|         inf|     594.951|    37     74| -0.000216229|   0.00408483|    12|
|  108|       16|      36|     593.163|     594.444|     0|       355|       6|      -3|      2396|        0    1149.5         0|     597.022|     594.951|     3     63|  0.000851984|   0.00252435|    11|
|  108|       18|      37|     593.469|     594.857|     0|       308|       6|      -3|      2408|        0   1490.83         0|     601.969|     594.951|    69     76|  0.000156981|   0.00173437|    12|
|  108|       23|      38|     593.437|     594.047|     0|       196|       3|      -3|      3662|        0   2083.67         0|     598.444|     594.951|    37     74|   0.00151984|   0.00173437|    13|
|  110|       20|      39|     593.136|      593.45|     0|       317|       5|      -3|      2425|        0     598.4         0|     595.103|     594.951|     6     34|   0.00252326|   0.00151984|    14|
|  109|       20|      40|     593.136|     594.202|     0|       370|       6|      -3|      2571| 0.166667      1694         0|     596.371|     594.951|     6     34|   0.00125796|   0.00252326|    15|
|  110|       27|      41|     592.536|       593.1|     0|       210|       3|      -3|      3702|        0      2373         0|     595.383|     594.951|    37    109|   0.00311016|   0.00151984|    16|
|  110|       24|      42|       592.9|     593.397|     0|       274|       5|      -3|      2636|        0     702.8         0|     595.484|     594.951|    79     82|    0.0026108|   0.00311016|    17|
|  108|       25|      43|     593.449|      594.93|     0|        50|       0|       2|      2824|        0         0         0|     597.635|     594.951|    37     63|  3.44336e-05|    0.0026108|    18|
|  109|       29|      44|     592.961|     593.323|     0|       240|       4|      -3|      2591|        0    762.25         0|     595.497|     594.951|    42     81|   0.00273638|    0.0026108|    17|
|  109|       24|      45|       592.9|     593.964|     0|       321|       6|      -3|      2453| 0.333333   1165.17         0|     597.065|     594.951|    79     82|    0.0016583|   0.00273638|    18|
|  110|       31|      46|     592.283|     592.868|     0|       216|       3|      -3|      4420|        0      1584         0|     594.951|     594.951|    13     51|   0.00350149|    0.0026108|    19|
|  108|       34|      47|      592.52|     595.094|     0|       195|       2|       2|      6167|        0      4680         0|         inf|     594.951|    63     73| -0.000239939|   0.00350149|    20|
|  109|       25|      48|     593.449|     593.931|     0|       256|       5|      -3|      2644|        0     767.6         0|     597.224|     594.951|    37     63|    0.0017138|    0.0026108|    19|
|  109|       34|      49|      592.52|     593.297|     0|       242|       4|      -3|      2841|        0    1544.5         0|     595.987|     594.951|    63     73|   0.00277902|    0.0017138|    20|
|  109|       39|      50|      593.45|      595.19|     0|       131|       1|       2|      6583|        2      5000         0|         inf|     594.951|    28    102| -0.000402383|   0.00277902|    21|
|  109|       31|      51|     592.283|     593.834|     0|       305|       5|      -3|      2607|        0      1809         0|     596.434|     594.951|    13     51|   0.00187736|    0.0017138|    20|
|  108|       29|      52|     592.961|     594.424|     0|       345|       6|      -3|      2362| 0.166667      1677         0|     597.358|     594.951|    42     81|  0.000885156|   0.00187736|    21|
|  109|       30|      53|     593.919|     594.315|     0|       253|       5|      -3|      2448|        0       615         0|     597.862|     594.951|     8     17|   0.00106844|    0.0017138|    22|
|  110|       42|      54|     593.397|     593.733|     0|       184|       3|      -3|      3379|        0   787.333         0|     595.484|     594.951|    34     43|     0.002047|    0.0017138|    23|
|  110|       41|      55|       593.1|     593.463|     0|       274|       5|      -3|      2586|        0    1239.4         0|     595.383|     594.951|    17    102|   0.00250075|     0.002047|    24|
|  110|       39|      56|      593.45|      594.45|     0|       358|       6|       3|      2392|        0    1147.5         0|     594.773|    594.773*|    28    102|  0.000544227|   0.00220319|    25|
|  108|       44|      57|     593.323|     594.266|     0|       246|       5|      -3|      2623|      0.4      1329         0|     597.705|     594.773|    45     81|  0.000853414|    0.0017493|    26|
|  109|       41|      58|       593.1|     593.704|     0|       325|       5|      -3|      2957|      3.4      2377         0|     595.626|     594.773|    17    102|   0.00179835|   0.00141601|    27|
|  109|       44|      59|     593.323|     593.633|     0|       283|       6|      -3|      2258|        0     450.5         0|     595.497|     594.773|    45     81|   0.00191714|   0.00179835|    28|
|  108|       51|      60|     593.834|     595.102|     0|       166|       1|       2|      6637|       21      5000         0|         inf|     594.773|     0     36| -0.000551843|   0.00191714|    29|
|  108|       49|      61|     593.297|     594.948|     0|       187|       2|       2|      4543|      1.5      3716         0|         inf|     594.773|     9     36| -0.000294403|   0.00179835|    28|
|  110|       46|      62|     592.868|     593.177|     0|       305|       6|       3|      2141|        0   743.667         0|     594.951|     594.773|    42    102|   0.00268451|   0.00141601|    27|
|  110|       54|      63|     593.733|     594.024|     0|       181|       3|      -3|      3802|        0   1185.33         0|     595.484|     594.773|    62     99|   0.00126021|   0.00268451|    28|
|  109|       49|      64|     593.297|     593.778|     0|       274|       6|      -3|      2402|        0   683.667         0|     595.728|     594.773|     9     36|   0.00167267|   0.00141601|    29|
|  109|       51|      65|     593.834|      594.37|     0|       253|       4|      -3|      2580|        0    1335.5         0|     596.157|     594.773|     0     36|  0.000678285|   0.00167267|    30|
|  110|       55|      66|     593.463|     593.625|     0|       129|       2|      -3|      2869|        0     569.5         0|     595.383|     594.773|    35     73|   0.00193014|   0.00141601|    31|
|  109|       42|      67|     593.397|     594.438|     0|       302|       6|      -3|      2555| 0.166667      1557         0|     596.684|     594.773|    34     43|   0.00056403|   0.00193014|    32|
|  109|       48|      68|     593.931|     594.376|     0|       296|       6|      -3|      2692|        0   748.167         0|     597.224|     594.773|    34     74|  0.000667761|   0.00141601|    33|
|  108|       59|      69|     593.633|     594.809|     0|       114|       1|       2|      6663|        0      5000         0|         inf|     594.773|    69     75| -5.93943e-05|   0.00136049|    34|
|  108|       58|      70|     593.704|     594.724|     0|       153|       2|       2|      3527|      0.5    2799.5         0|      595.56|     594.773|    28     34|  8.33971e-05|   0.00136049|    33|
|  108|       30|      71|     593.919|     594.834|     0|       624|       4|      -3|      2938|        4      2079         0|         inf|     594.773|     8     17| -0.000102342|   0.00126021|    32|
|  110|       62|      72|     593.177|     593.399|     0|       171|       3|      -3|      2382|        0       787         0|     594.951|     594.773|    12     73|   0.00231084|   0.00126021|    31|
|  109|       59|      73|     593.633|     594.045|     0|       220|       4|      -3|      2383|        0     674.5         0|     595.497|     594.773|    69     75|     0.001225|   0.00231084|    32|
|  111|       27|      74|     592.536|     593.311|     0|       836|       7|      -3|      2353|        0   767.143         0|     594.893|     594.773|    37    109|   0.00245783|   0.00126021|    33|
|  108|       64|      75|     593.778|     594.802|     0|       123|       1|       2|      6743|        0      5000         0|         inf|     594.773|    33     74| -4.76244e-05|   0.00245783|    34|
|  109|       54|      76|     593.733|     594.178|     0|       270|       5|      -3|      2454|        0      1049         0|     596.115|     594.773|    62     99|   0.00100144|   0.00126021|    33|
|  109|       55|      77|     593.463|     594.229|     0|       319|       6|      -3|      2403|        0      1144         0|     595.682|     594.773|    35     73|  0.000915714|     0.001225|    34|
|  108|       48|      78|     593.931|      595.14|     0|       116|       1|       2|      6799|        0      5000         0|         inf|     594.773|    34     74| -0.000616958|     0.001225|    35|
|  108|       45|      79|     593.964|     594.951|     0|        46|       0|       2|      2313|        0         0         0|         inf|     594.773|    28     37| -0.000299225|   0.00122199|    34|
|  109|       62|      80|     593.177|     594.739|     0|       199|       2|       2|      6597|      0.5      4860         0|     597.734|     594.773|    12     73|  5.68879e-05|   0.00122199|    33|
|  109|       64|      81|     593.778|     594.248|     0|       198|       3|      -3|      3130|        0      1505         0|     595.728|     594.773|    33     74|  0.000882514|    0.0010302|    32|
|  109|       46|      82|     592.868|     595.127|     0|       568|       3|       2|      6771|  1.66667      5000         0|         inf|     594.773|    42    102| -0.000594363|    0.0010302|    33|
|  110|       66|      83|     593.625|     593.861|     0|       254|       5|      -3|      2400|        0     521.8         0|     595.383|     594.773|    12     74|   0.00153311|   0.00100144|    32|
|  109|       63|      84|     594.024|      595.13|     0|       126|       1|       2|      6939|        0      5000         0|         inf|     594.773|    70     76| -0.000598936|   0.00153311|    33|
|  107|       38|      85|     594.047|     594.836|     0|        50|       0|       2|      3379|        0         0         0|         inf|     594.773|     5     46| -0.000105055|   0.00100144|    32|
|  109|       66|      86|     593.625|     594.664|     0|       323|       5|      -3|      2613|        0    1952.6         0|      596.25|     594.773|    12     74|  0.000183454|   0.00100144|    31|
|  109|       45|      87|     593.964|     594.335|     0|       257|       5|      -3|      2667|        0     695.2         0|     597.028|     594.773|    28     37|  0.000736905|  0.000960035|    32|
|  108|       73|      88|     594.045|     594.936|     0|       127|       1|       2|      5610|        1      3827         0|         inf|     594.773|    33     78| -0.000273336|  0.000960035|    33|
|  109|       58|      89|     593.704|     593.937|     0|       458|       3|      -3|      2815|        0       648         0|     595.626|     594.773|    28     34|   0.00140629|  0.000915714|    32|
|  108|       28|      90|     594.161|     595.422|     0|       134|       1|       2|      6649|        0      5000         0|         inf|     594.773|    12     50|  -0.00109004|   0.00140629|    33|
|  110|       63|      91|     594.024|     594.456|     0|       202|       3|      -3|      2904|        0   850.333         0|     595.484|     594.773|    70     76|  0.000534064|  0.000915714|    32|
|  108|       38|      92|     594.047|     594.461|     0|       172|       3|      -3|      3259|        0       888         0|     598.444|     594.773|     5     46|  0.000525687|  0.000915714|    33|
|  111|       74|      93|     593.311|     593.711|     0|       236|       3|      -3|      3099|        0      1130         0|     594.893|     594.773|    34     69|   0.00178531|  0.000885668|    34|
|  109|       28|      94|     594.161|     594.697|     0|       152|       2|      -3|      3749|        0    1460.5         0|     596.351|     594.773|    12     50|  0.000128048|   0.00178531|    35|
|  109|       73|      95|     594.045|     594.493|     0|       273|       5|      -3|      2204|        0       477         0|     595.497|     594.773|    33     78|  0.000471697|  0.000885668|    36|
|  108|       40|      96|     594.202|     595.095|     0|        52|       0|       2|      2397|        0         0         0|         inf|     594.773|    36     62| -0.000541449|  0.000885668|    37|
|  110|       72|      97|     593.399|     593.897|     0|       318|       5|      -3|      2586|        0    1142.4         0|     594.951|     594.773|    44     99|   0.00147384|  0.000882514|    36|
|  109|       72|      98|     593.399|     594.023|     0|       313|       3|      -3|      5262| 0.333333      2845         0|      595.38|     594.773|    44     99|   0.00126103|   0.00147384|    37|
