
DATA_PATH, n, d, k: /home/philipp/data-for-pc-sos-sdp-solver/hayes-roth.txt 160 4 3
CONSTRAINTS_PATH: /home/philipp/data-for-pc-sos-sdp-solver/hayes-roth_constraints_0.1.txt
LOG_PATH: /home/philipp/data-for-pc-sos-sdp-solver/hayes-roth_log_0.1.txt

BRANCH_AND_BOUND_TOL: 0.0001
BRANCH_AND_BOUND_PARALLEL: 16
BRANCH_AND_BOUND_MAX_NODES: 200
BRANCH_AND_BOUND_VISITING_STRATEGY: 0

SDP_SOLVER_SESSION_THREADS_ROOT: 16
SDP_SOLVER_SESSION_THREADS: 1
SDP_SOLVER_FOLDER: /home/pc-sos-sdp/SDPNAL+/
SDP_SOLVER_TOL: 1e-05
SDP_SOLVER_VERBOSE: 1
SDP_SOLVER_MAX_CP_ITER_ROOT: 80
SDP_SOLVER_MAX_CP_ITER: 40
SDP_SOLVER_CP_TOL: 1e-06
SDP_SOLVER_MAX_INEQ: 100000
SDP_SOLVER_INHERIT_PERC: 1
SDP_SOLVER_EPS_INEQ: 0.0001
SDP_SOLVER_EPS_ACTIVE: 1e-06
SDP_SOLVER_MAX_PAIR_INEQ: 100000
SDP_SOLVER_PAIR_PERC: 0.05
SDP_SOLVER_MAX_TRIANGLE_INEQ: 100000
SDP_SOLVER_TRIANGLE_PERC: 0.05


|    N| NODE_PAR|    NODE|      LB_PAR|          LB|  FLAG|  TIME (s)| CP_ITER| CP_FLAG|   CP_INEQ|     PAIR  TRIANGLE    CLIQUE|          UB|         GUB|     I      J|     NODE_GAP|          GAP|  OPEN|
|  119|       10|      15|     505.306|     505.368|     0|        58|       1|      -3|      4020|        0       731         0|     520.746|     512.848|    79     87|    0.0145869|    0.0145869|     0|
|  119|        9|      16|     506.225|     506.728|     0|        81|       2|      -3|      4303|        0      1167         0|     520.158|     512.848|     7    104|    0.0119333|    0.0145869|     1|
|  120|        7|      17|     504.469|     505.038|     0|       102|       3|      -3|      4036|        0   966.333         0|     518.041|     512.848|    33    119|    0.0152295|    0.0119333|     2|
|  119|        7|      18|     504.469|      506.71|     0|        97|       3|      -3|      4129|        0   1597.67         0|     522.013|     512.848|    33    119|    0.0119693|    0.0152295|     3|
|  121|        8|      19|     503.024|     503.728|     0|       100|       3|      -3|      4212|        0   1425.67         0|     512.848|     512.848|     3    120|    0.0177835|    0.0119693|     4|
|  118|       10|      20|     505.306|     506.752|     0|        82|       2|      -3|      4771|        0    1450.5         0|     523.829|     512.848|    79     87|    0.0118868|    0.0177835|     5|
|  118|        9|      21|     506.225|      507.86|     0|       115|       4|      -3|      3790|        0   1353.75         0|     523.894|     512.848|     7    104|   0.00972768|    0.0119693|     6|
|  120|       13|      22|     504.934|     505.061|     0|        52|       1|      -3|      3914|        0       740         0|     515.873|     512.848|    66    100|    0.0151837|    0.0119693|     7|
|  120|        8|      23|     503.024|     504.887|     0|       129|       4|      -3|      4178|     0.75      1737         0|     516.208|     512.848|     3    120|    0.0155234|    0.0151837|     8|
|  120|       12|      24|     504.825|     505.259|     0|        93|       3|      -3|      4066|        0   1236.67         0|     518.102|     512.848|    41    119|    0.0147992|    0.0155234|     9|
|  119|       13|      25|     504.934|     506.489|     0|       103|       4|      -3|      3714|        0      1037         0|     521.171|     512.848|    66    100|    0.0124012|    0.0151837|    10|
|  119|       12|      26|     504.825|     507.064|     0|       118|       4|      -3|      3958|     0.75    1567.5         0|     517.742|     512.848|    41    119|    0.0112788|    0.0147992|    11|
|  118|       11|      27|     508.161|     508.582|     0|       132|       3|      -3|      3787|        0   942.333         0|     521.228|     512.848|    43     92|   0.00831813|    0.0147992|    12|
|  118|       14|      28|     507.865|     509.689|     0|        87|       3|       3|      3900|        0   1531.33         0|      524.33|     512.848|     4     78|   0.00616051|    0.0124012|    13|
|  119|       14|      29|     507.865|     508.171|     0|        88|       3|      -3|      3771|        0   804.333         0|     521.292|     512.848|     4     78|   0.00912105|    0.0124012|    14|
|  117|       11|      30|     508.161|     510.472|     0|       147|       4|      -3|      3918|        0   1476.25         0|     523.847|     512.848|    43     92|   0.00463451|    0.0119693|    15|
|  119|       15|      31|     505.368|     505.687|     0|        75|       3|      -3|      3777|        0       722         0|     520.746|     512.848|    10     52|    0.0139642|    0.0119333|    16|
